S.No,Question Name,Difficulty,LeetCode Link
1,Find Users with High Token Usage,Easy,https://leetcode.com/problems/find-users-with-high-token-usage/
2,Largest Even Number,Easy,https://leetcode.com/problems/largest-even-number/
3,Reverse String Prefix,Easy,https://leetcode.com/problems/reverse-string-prefix/
4,Smallest All-Ones Multiple,Medium,https://leetcode.com/problems/smallest-all-ones-multiple/
5,Maximum Score of a Split,Medium,https://leetcode.com/problems/maximum-score-of-a-split/
6,Sum of Increasing Product Blocks,Medium,https://leetcode.com/problems/sum-of-increasing-product-blocks/
7,Most Common Course Pairs,Hard,https://leetcode.com/problems/most-common-course-pairs/
8,Mirror Distance of an Integer,Easy,https://leetcode.com/problems/mirror-distance-of-an-integer/
9,Maximum Total Sum with Threshold Constraints,Medium,https://leetcode.com/problems/maximum-total-sum-with-threshold-constraints/
10,Find Diameter Endpoints of a Tree,Medium,https://leetcode.com/problems/find-diameter-endpoints-of-a-tree/
11,Last Remaining Integer After Alternating Deletion Operations,Hard,https://leetcode.com/problems/last-remaining-integer-after-alternating-deletion-operations/
12,Minimum Number of Operations to Have Distinct Elements,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-have-distinct-elements/
13,Maximum Sum of Three Numbers Divisible by Three,Medium,https://leetcode.com/problems/maximum-sum-of-three-numbers-divisible-by-three/
14,Absolute Difference Between Maximum and Minimum K Elements,Easy,https://leetcode.com/problems/absolute-difference-between-maximum-and-minimum-k-elements/
15,Reverse Words With Same Vowel Count,Medium,https://leetcode.com/problems/reverse-words-with-same-vowel-count/
16,Minimum Cost to Make Two Binary Strings Equal,Medium,https://leetcode.com/problems/minimum-cost-to-make-two-binary-strings-equal/
17,Maximum Number of Equal Length Runs,Medium,https://leetcode.com/problems/maximum-number-of-equal-length-runs/
18,Count Routes to Climb a Rectangular Grid,Hard,https://leetcode.com/problems/count-routes-to-climb-a-rectangular-grid/
19,Minimum Subarray Length With Distinct Sum At Least K,Medium,https://leetcode.com/problems/minimum-subarray-length-with-distinct-sum-at-least-k/
20,Maximum Subgraph Score in a Tree,Hard,https://leetcode.com/problems/maximum-subgraph-score-in-a-tree/
21,Sort Integers by Binary Reflection,Easy,https://leetcode.com/problems/sort-integers-by-binary-reflection/
22,Convert Number Words to Digits,Medium,https://leetcode.com/problems/convert-number-words-to-digits/
23,Minimum Cost to Acquire Required Items,Medium,https://leetcode.com/problems/minimum-cost-to-acquire-required-items/
24,Total Score of Dungeon Runs,Medium,https://leetcode.com/problems/total-score-of-dungeon-runs/
25,Minimum Inversion Count in Subarrays of Fixed Length,Hard,https://leetcode.com/problems/minimum-inversion-count-in-subarrays-of-fixed-length/
26,Minimum Cost to Merge Sorted Lists,Hard,https://leetcode.com/problems/minimum-cost-to-merge-sorted-lists/
27,Count Elements With at Least K Greater Values,Medium,https://leetcode.com/problems/count-elements-with-at-least-k-greater-values/
28,Evaluate Valid Expressions,Hard,https://leetcode.com/problems/evaluate-valid-expressions/
29,Minimum Absolute Distance Between Mirror Pairs,Medium,https://leetcode.com/problems/minimum-absolute-distance-between-mirror-pairs/
30,Minimum Deletion Cost to Make All Characters Equal,Medium,https://leetcode.com/problems/minimum-deletion-cost-to-make-all-characters-equal/
31,Concatenate Non-Zero Digits and Multiply by Sum II,Medium,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-ii/
32,Concatenate Non-Zero Digits and Multiply by Sum I,Easy,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-i/
33,Number of Effective Subsequences,Hard,https://leetcode.com/problems/number-of-effective-subsequences/
34,Number of Ways to Paint Sheets,Hard,https://leetcode.com/problems/number-of-ways-to-paint-sheets/
35,Maximum Score After Binary Swaps,Medium,https://leetcode.com/problems/maximum-score-after-binary-swaps/
36,Total Waviness of Numbers in Range II,Hard,https://leetcode.com/problems/total-waviness-of-numbers-in-range-ii/
37,Minimum Distance Excluding One Maximum Weighted Edge,Medium,https://leetcode.com/problems/minimum-distance-excluding-one-maximum-weighted-edge/
38,Minimum Number of Flips to Reverse Binary String,Easy,https://leetcode.com/problems/minimum-number-of-flips-to-reverse-binary-string/
39,Minimum Distance Between Three Equal Elements II,Medium,https://leetcode.com/problems/minimum-distance-between-three-equal-elements-ii/
40,Minimum Moves to Equal Array Elements III,Easy,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-iii/
41,Minimum Distance Between Three Equal Elements I,Easy,https://leetcode.com/problems/minimum-distance-between-three-equal-elements-i/
42,Find Kth Character in Expanded String,Medium,https://leetcode.com/problems/find-kth-character-in-expanded-string/
43,Maximize Expression of Three Elements,Easy,https://leetcode.com/problems/maximize-expression-of-three-elements/
44,Count Stable Subarrays,Hard,https://leetcode.com/problems/count-stable-subarrays/
45,Maximum Calories Burnt from Jumps,Medium,https://leetcode.com/problems/maximum-calories-burnt-from-jumps/
46,Minimum Operations to Make the Array Beautiful,Medium,https://leetcode.com/problems/minimum-operations-to-make-the-array-beautiful/
47,Find Missing Elements,Easy,https://leetcode.com/problems/find-missing-elements/
48,Lexicographically Smallest String After Reverse II,Hard,https://leetcode.com/problems/lexicographically-smallest-string-after-reverse-ii/
49,Find Churn Risk Customers,Medium,https://leetcode.com/problems/find-churn-risk-customers/
50,Maximum Product of Three Elements After One Replacement,Medium,https://leetcode.com/problems/maximum-product-of-three-elements-after-one-replacement/
51,Complete Prime Number,Medium,https://leetcode.com/problems/complete-prime-number/
52,Minimum Operations to Make Binary Palindrome,Medium,https://leetcode.com/problems/minimum-operations-to-make-binary-palindrome/
53,Longest Non-Decreasing Subarray After Replacing at Most One Element,Medium,https://leetcode.com/problems/longest-non-decreasing-subarray-after-replacing-at-most-one-element/
54,Number of Balanced Integers in a Range,Hard,https://leetcode.com/problems/number-of-balanced-integers-in-a-range/
